"","id","zip","stratum2","region","stratum2014","region2014","r_stratum2014","psu","ssu","wsel0","wsel","wr_19_4","wr_19_5","wave","qtype","year","year_m","sdt1","sdt2","a1","a2y","a2m","a3city","a3zip","a4city","a4zip","a5","a5city","a5zip","a6","a7","ka7","a8","ka8","a9","ka9","a10","a11","ka11","a12","a12a","a13","a14","a1501","a1502","a1503","a1504","a1505","a1506","a1507","a1508","ka15","a16","a17","a18","a19","ka19","a20","ka20","a20a","a20a1","a21","ka21","a22","ka22","a23","ka23","a24","ka24","b1","b2","b3","b4","b5","b6","b7a","b7b","b7c","b7d","b8a","b8b","b8c","b8d","b9a","b9b","b10","b1101","b1102","b1103","b1104","b1105","b1106","b1107","b1108","b1197","b12a","b12b","kb12b","b13a","b13b","b13c","b13d","b13e","b13f","b13g","b14a","b14b","b14c","b14d","b14e","b14f","b14g","b15a1","b15a2","b15a3","b15a4","b15a5","b15a6","b15a7","b15b1","b15b2","b15b3","b15b4","b15b5","b15b6","b15b7","b15c1","b15c2","b15c3","b15c4","b15c5","b15c6","b15c7","b16","b17","b18","b19","b20a","b20b","b20c","b21a","b21b","b21c","b21d","b22","b23a","b23b","b23c","c1","c2","c3a","c3b","c3c","c3d","c3e","c3f","c3g","c3h","c3i","kc3i","d1","kd1","d2","d3","e1","e2","e3","e4","f1","f1a","f2","f2a","f3","f3a","f4","f4a","f5","f6","f7","f8a","f8b","f8c","f9","f10a","f10b","f10c","f10d","f10e","f11a","f11b","f11c","f12","kf12","f13a","f13b","f13c","f13d","f13e","f13f","f13g","f13h","f13i","g1","g2h","g2m","g2","g3a","g3b","g3c","g4","g5","kg5","g6","kg6","g7h","g7m","g7","g8a","g8b","g8c","g9a","g9b","g9c","g10","g10a","g11","g11a","h1","kh1","h2city","h2zip","h3a3","h3b4","h3b5","h3b5isco88","h4","h5","h6","kh6","h6a","h7","h7a","kh7a","h8","h9y","h9m","h10","h11","kh11","h12","h13a3","h13b4","h13b5","h13b5isco88","h13c","h14","h15","h15a","h16","h1701","h1702","h1703","h1704","h1705","h1706","h1707","h1708","h1709","h1710","h1711","h1712","h1713","h1714","h1715","h1716","h1717","h1718","h1719","h1720","h1721","h1722","h1723","h1724","h1725","kh17","h18","h18a","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","edt1","edt2","a2n","a13n","a18n","a18n2","f2an","f4an","g2n","g7n","h3a3n","h3b4n","h3b5n","h3b5isco88n","h8n","h9n","h12n","h13a3n","h13b4n","h13b5n","h13b5isco88n","h16n","h18n"
"1",104204,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,0.95597053627137,0.931082736528512,"0704","卷二",2018,107,821,1537,1,82,1,2,105,2,105,1,2,104,1,1,"",1,"",4,"",3,20,"",1,96,19,2,96,96,96,96,96,96,96,96,"",1,6,96,96,"",96,"",96,96,96,"",96,"",10,"",7,"",1,1,3,2,2,1,3,3,5,2,7,1,6,5,1,2,2,1,0,1,1,1,0,0,0,0,2,5,"",1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,"likeCH",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,3,1,7,2,2,6,3,2,3,5,5,2,1,1,2,1,3,2,2,2,2,4,"",1,"",2,1,1,2,4,4,2,96,97,996,2,96,97,9996,1,3,3,1,1,2,3,2,2,6,6,2,2,6,6,1,"",7,7,6,1,2,6,6,2,1,2,2,0,120,5,4,1,1,2,"",6,"相聲舞台劇",7,0,420,4,1,1,4,3,6,3,2,4,96,6,"",96,9996,260,790,7543,4132,4,3,1,"",5,2,96,"",40,0,2,2,96,"",996,996,996,9996,9996,96,96,96,96,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,96,7,2,3,1,1,3,1,24,96,97,821,1613,2,4,96,96,96,96,3,8,3,7,7,4,4,1,96,96,96,96,96,5,1
"2",104205,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,1.08207060674622,1.05389456178411,"0704","卷二",2018,107,731,2021,1,74,12,1,214,1,214,1,2,104,1,4,"",97,"",9,"",96,19,"",1,96,16,1,0,0,1,0,1,0,0,1,"澳洲",1,6,96,96,"",96,"",96,96,96,"",96,"",8,"",11,"",4,3,4,4,2,2,6,6,2,5,6,3,5,2,2,3,1,1,0,1,1,0,0,0,0,0,5,94,"",2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,"likeCH",1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,5,4,7,94,7,1,1,4,2,4,2,2,2,5,3,1,3,2,3,3,3,4,4,4,"",6,"沒特別要求",2,1,1,2,1,2,2,96,2,996,2,96,97,9996,1,97,3,1,1,1,3,1,5,7,6,3,3,3,5,6,"台語、國語各半",3,6,7,7,2,1,1,6,1,1,0,30,30,5,5,5,3,6,"",7,"",7,0,420,9,9,9,6,2,1,2,2,3,2,1,"",2,106,110,720,7411,7137,11,1,1,"",5,97,97,"",40,1,1,2,96,"",996,996,996,9996,9996,96,96,96,96,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,96,4,3,3,2,3,3,1,6,96,17,731,2136,3,3,96,96,96,96,1,8,3,7,7,7,4,2,96,96,96,96,96,3,1
"3",104207,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,0.997433293513059,0.956658714448692,"0704","卷二",2018,107,911,900,1,41,11,3,224,2,105,1,2,104,1,1,"",1,"",8,"",1,20,"",1,96,18,1,0,0,0,0,0,0,1,0,"",1,1,42,1,"",19,"",1,96,1,"",1,"",4,"",4,"",4,3,4,4,3,2,2,2,2,6,6,2,6,6,2,2,4,1,0,1,1,0,0,0,0,0,4,6,"",1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,"likeCH",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,2,6,2,2,2,2,3,1,1,1,4,1,1,1,1,2,2,2,2,3,4,"",2,"",1,2,3,1,1,1,2,96,2,996,1,5,2,9996,2,97,97,1,1,1,4,2,2,6,6,2,2,6,6,2,"",6,6,6,6,2,2,2,6,2,1,1,0,60,5,5,8,1,1,"",7,"",3,0,180,6,10,11,8,8,8,1,94,1,1,1,"",29,70,450,110,1514,1314,4,6,96,"",96,2,96,"",40,20,0,5,1,"",40,640,410,4110,4115,3,1,4,96,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,8,2,3,1,2,3,2,10,1,23,911,947,6,3,6,6,96,96,2,4,7,1,1,1,4,6,4,11,4,4,4,2,3
"4",104214,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,1.027374209121,1.00978835040674,"0704","卷二",2018,107,731,1907,2,41,5,2,103,2,103,1,2,104,1,1,"",1,"",1,"",1,12,"",1,96,16,2,96,96,96,96,96,96,96,96,"",1,3,96,96,"",96,"",96,96,96,"",96,"",3,"",3,"",3,4,4,3,6,1,3,2,6,3,6,2,2,2,6,2,5,1,0,1,0,1,0,0,0,0,1,5,"",1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,"disCH",1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,4,1,1,7,6,5,5,3,5,2,2,2,1,1,1,2,1,2,2,2,2,3,4,"",2,"",2,1,3,1,3,3,1,7,2,996,2,96,2,9996,2,1,1,1,1,1,4,1,1,7,1,1,1,6,5,2,"",7,1,2,1,7,3,6,2,1,1,2,0,120,5,5,5,1,4,"",1,"",1,30,90,6,1,9,6,4,1,2,2,3,2,10,"",96,9996,130,332,3322,3415,6,1,1,"",5,2,96,"",50,3,97,5,96,"",996,996,996,9996,9996,96,96,96,96,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",2,0,8,3,1,1,2,4,2,24,96,7,731,2004,6,3,96,96,96,96,3,3,3,3,3,3,5,5,96,96,96,96,96,3,3
"5",104216,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,1.08207060674622,1.05389456178411,"0704","卷二",2018,107,802,1458,1,72,3,3,235,3,235,1,2,104,1,1,"",2,"",9,"",96,18,"",1,96,16,2,96,96,96,96,96,96,96,96,"",1,1,72,1,"",19,"",1,96,4,"",4,"",4,"",4,"",3,2,4,4,2,2,6,6,6,5,7,4,5,6,3,2,5,0,0,1,1,1,1,0,0,0,2,5,"",2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,"disCH",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,2,7,3,2,4,1,6,5,5,6,1,3,1,2,1,3,2,3,2,3,4,"",3,"",3,2,1,3,4,4,1,6,2,996,1,7,97,9996,2,97,97,1,1,1,4,1,3,7,4,1,1,6,6,2,"",4,4,6,2,1,4,4,4,1,1,0,30,30,8,1,1,3,4,"",7,"",12,0,720,4,4,11,4,1,9,3,1,3,1,1,"",3,221,270,370,3341,3431,8,1,1,"",5,3,97,"",40,7,8,1,1,"",40,450,410,4110,4115,2,1,1,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",2,1,6,3,1,2,2,4,2,10,8,17,802,1531,3,3,3,9,96,96,1,8,3,1,3,3,4,4,4,7,4,4,4,3,3
"6",104217,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,1.11455216208344,1.11242435256537,"0704","卷二",2018,107,730,1725,2,70,2,2,100,3,234,1,2,104,3,5,"印尼華僑",5,"台灣外省籍(二代)",2,"",1,10,"",1,96,14,2,96,96,96,96,96,96,96,96,"",1,1,56,1,"",10,"",1,96,1,"",1,"",19,"",20,"",2,3,4,1,6,1,5,2,5,3,6,2,3,2,3,3,2,0,0,1,1,0,0,0,0,0,4,1,"",2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,"disCH",2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,3,5,4,4,3,4,7,1,1,4,4,4,5,6,7,3,4,1,2,1,2,2,2,1,3,4,"",2,"",4,1,2,3,1,4,1,7,1,1,1,7,2,9996,2,1,3,1,1,2,3,2,6,7,4,2,1,4,7,1,"",6,7,7,6,1,1,1,3,1,1,1,30,90,5,2,1,1,2,"",5,"",12,0,720,2,1,1,1,2,9,1,2,4,96,11,"",96,9996,640,332,3311,3411,5,1,1,"",5,2,96,"",72,4,0,2,1,"",30,780,332,3322,3415,2,1,2,96,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,96,5,4,3,3,3,4,1,24,6,8,730,1818,3,3,5,7,1,96,3,8,11,3,3,3,7,3,3,14,3,3,3,2,1
"7",104223,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,1.11455216208344,1.11242435256537,"0704","卷二",2018,107,801,1940,2,73,10,2,104,2,104,1,2,104,1,1,"",1,"",9,"",96,20,"",1,96,18,2,96,96,96,96,96,96,96,96,"",1,6,96,96,"",96,"",96,96,96,"",96,"",20,"",10,"",1,2,3,2,4,1,3,3,2,5,5,3,2,6,3,2,5,1,0,1,1,1,1,0,0,0,2,6,"",1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,"likeCH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,2,6,3,3,4,2,5,3,3,3,2,1,1,3,2,3,3,3,3,3,4,"",3,"",2,1,2,2,1,3,1,6,1,1,2,96,2,9996,3,1,2,2,2,2,3,3,2,5,3,2,2,5,5,1,"",6,5,6,2,6,6,3,5,3,2,1,0,60,5,5,1,3,4,"",5,"",12,0,720,8,1,1,6,2,1,3,1,3,2,1,"",2,106,720,410,4110,4115,6,3,1,"",6,96,96,"",40,0,3,1,96,"",996,996,996,9996,9996,96,96,96,96,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,96,8,3,2,1,2,2,1,4,96,8,801,2016,3,3,96,96,1,96,2,8,13,4,4,4,4,1,96,96,96,96,96,4,1
"8",104224,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,0.984666824370368,0.982791967930942,"0704","卷二",2018,107,909,949,2,83,5,2,112,29,83,1,2,104,1,1,"",97,"",9,"",96,19,"",1,96,16,1,0,0,0,0,1,0,0,0,"",1,6,96,96,"",96,"",96,96,96,"",96,"",19,"",19,"",3,3,4,4,1,1,6,6,6,5,6,5,5,6,4,4,2,0,0,0,1,1,1,0,0,0,97,97,"",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"likeCH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,2,6,97,2,4,3,5,1,1,1,5,3,1,3,1,3,2,1,2,3,2,"墨西哥菜",4,"",1,94,1,3,1,4,2,96,2,996,1,8,2,9996,97,97,97,1,1,1,4,5,2,6,2,2,2,5,6,1,"",6,6,5,97,3,3,97,2,2,1,1,20,80,5,5,5,1,4,"",7,"",8,0,480,9,6,9,6,9,9,2,2,1,2,1,"",2,110,560,332,3332,3439,4,1,1,"",5,2,96,"",40,0,5,4,96,"",996,996,996,9996,9996,96,96,96,96,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"外傭x2",0,96,6,97,3,3,3,5,1,4,96,97,909,1045,2,3,96,96,96,96,3,8,9,3,3,3,4,1,96,96,96,96,96,4,1
"9",104226,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,0.993203397361121,0.98541793454516,"0704","卷二",2018,107,807,1955,2,64,1,29,2,29,2,1,2,104,1,4,"",4,"",9,"",96,4,"",1,96,9,2,96,96,96,96,96,96,96,96,"",2,1,63,2,"",4,"",1,96,4,"",4,"",4,"",1,"",4,2,2,1,1,1,4,2,3,2,2,2,1,1,6,6,7,0,0,1,0,0,0,0,0,0,3,1,"",1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,"likeCH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,6,2,6,2,2,5,2,2,7,7,7,2,3,1,2,2,2,2,2,2,3,4,"",2,"",3,1,1,2,4,4,2,96,2,996,1,2,2,9996,3,97,3,1,1,1,2,2,2,5,4,2,2,2,2,6,"福州話",6,4,7,4,5,3,3,4,1,1,0,30,30,8,8,8,5,2,"",7,"",1,0,60,9,9,9,9,9,9,1,2,4,96,1,"",2,104,960,420,4226,4222,2,1,1,"",5,2,96,"",40,5,0,2,1,"",40,960,370,3341,3431,1,7,96,96,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",2,0,5,4,3,2,3,4,1,4,5,7,807,2025,4,2,4,8,96,96,1,2,19,4,4,4,4,3,4,19,1,3,3,4,3
"10",104227,104,1,1,2,1,12,1,1,0.811930644,0.776418401620083,0.997433293513059,0.956658714448692,"0704","卷二",2018,107,821,1426,1,37,9,2,105,2,108,2,2,105,1,1,"",1,"",5,"",1,19,"",1,96,16,2,96,96,96,96,96,96,96,96,"",1,1,46,1,"",6,"",1,96,1,"",1,"",3,"",3,"",3,3,3,2,3,1,5,1,1,5,6,2,5,5,2,3,3,0,0,1,1,1,0,0,0,0,2,1,"",1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,"likeCH",1,1,1,1,1,2,93,1,2,2,1,1,2,2,1,2,1,1,2,5,3,2,6,1,6,5,6,4,2,5,7,7,5,1,5,1,2,2,2,2,2,2,3,4,"",1,"",2,1,3,1,1,4,2,96,2,996,2,96,2,9996,2,3,3,1,1,2,3,2,6,6,7,3,2,7,7,2,"",7,4,6,1,4,5,5,6,1,1,1,0,60,5,4,5,3,1,"",7,"",6,0,360,9,1,11,4,1,9,3,1,3,1,1,"",2,104,520,370,3341,3431,2,6,96,"",96,2,96,"",30,45,0,5,11,"",40,490,332,3322,3415,3,1,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,6,2,3,2,1,2,1,16,24,19,821,1519,7,3,6,6,96,96,2,7,8,1,3,3,3,7,4,8,3,3,3,2,4
